epoch,train_loss,eval_loss,eval_top1
0,462.2808899347683,372.11800283334236,34.90642799333987
1,366.5207991780224,427.5817828384039,34.906427999547674
2,426.94208039314515,384.88899542588933,34.906428008859386
3,336.0247320641021,1298.5847799675169,34.90642799333987
4,348.3905831473214,717.0202328811533,34.90642800265158
5,323.96947190245174,421.2986534373172,34.906427991787915
6,294.2632552608367,708.5907210869165,34.90642801506719
7,326.4584787676411,1620.6502328970453,34.906428008859386
8,276.48351010089647,324.70859186779296,34.90642800265158
9,297.9387221375918,317.45773392406494,34.90642801506719
10,291.3907961797055,430.80844838799646,34.90642800109963
11,309.5077115529144,543.9223490032944,34.90642800265158
12,281.5416843677995,534.9968136817678,34.90642799333987
13,317.18518981933596,590.8352999830751,34.90642800265158
14,331.0787105999784,368.84592223574805,34.90642801506719
15,312.8997328516525,484.9262515037791,34.90642801506719
16,237.5701940580447,240.06260766820077,34.90642800730743
17,241.72628922001007,237.88437083332008,34.90642801506719
18,227.36279706119942,232.41047972018782,34.906428008859386
19,228.57039254184141,233.71719432362121,34.90642800265158
20,193.63689585039694,230.2902689127538,34.90642800109963
21,229.1252200078305,228.13553204082493,34.906428008859386
22,202.76529991044427,227.5011198759273,34.90642800265158
23,247.75360326810915,217.1035650888044,34.90642799333987
24,220.97578265634002,232.8530221291923,34.90642800265158
25,213.7855195568454,235.84963296466577,34.9064279956678
26,195.9991681780134,221.12884942373674,34.906428008859386
27,243.75968323457076,229.06806640376686,34.90642800265158
28,187.5373039491715,223.43490725362852,34.90642801506719
29,229.7763660905548,216.22015132547105,34.90642801506719
30,243.19939642699632,227.2197122597132,34.90642799333987
31,237.3832270609069,213.76399033548776,34.90642801506719
32,215.7913797545543,214.36740029120077,34.90642801506719
33,219.42376175981514,235.60244259318264,34.906427999547674
34,244.52604038220946,220.5560565448758,34.90642800109963
35,187.28225728399744,217.42352898320695,34.90642800109963
36,158.0364525298369,214.97057731138003,34.906428008859386
37,229.57981803647934,218.62765691647013,34.90642801506719
38,200.19125509657619,200.2090804470177,34.906428008859386
39,185.10345093335974,199.37877466932753,34.906428008859386
40,147.81585843134584,197.8074882389376,34.906428008859386
41,187.47684486494634,201.0080120437411,34.90642799333987
42,166.01039191039476,200.21649096669756,34.90642799023596
43,181.78580232259864,201.4910301661666,34.90642800109963
44,183.85015800229965,195.37319414900801,34.90642800730743
45,172.15875284924485,199.813975831568,34.9064279956678
46,187.5904820596018,201.53011493977732,34.906428008859386
47,176.69962791759298,199.81940365225634,34.90642800109963
48,185.2201894311861,200.6673474106195,34.90642800109963
49,185.0049992855793,205.30232073641872,34.90642800109963
50,172.17666389711442,198.81928936032574,34.90642801817109
51,188.06602693197365,200.1495060870277,34.90642801506719
52,147.7708990562896,206.07645400740248,34.90642800109963
53,199.06243537867672,200.47842943581068,34.90642801506719
54,178.3170150123983,202.3131927726131,34.90642801506719
55,199.67253012942828,198.92842263453758,34.90642801506719
56,163.99315964659237,199.32742678314034,34.90642801506719
57,203.28178376931749,200.96297154376137,34.90642799333987
58,166.68019239012546,199.51531022694948,34.90642800730743
59,196.3914033529396,200.83101804902438,34.90642800265158
60,206.2457994171002,199.01869850996746,34.90642800265158
61,217.82523191953035,201.4081946947984,34.90642804610623
62,180.91024360480947,202.85579863285224,34.906428008859386
63,152.01001599571123,200.24048313423324,34.90642801506719
64,186.16663691788776,199.32093772546753,34.906428008859386
65,194.96301304689752,199.67540883746352,34.906428008859386
66,193.706202859483,200.09511198039166,34.90642800265158
67,161.3687982796524,199.91006372884777,34.906428008859386
68,207.210845187842,199.92748654693779,34.906427999547674
69,200.26664657944357,205.58378795999351,34.906427996443774
70,182.12532106742333,199.1275347344171,34.906428008859386
71,174.74918372510217,199.5873832112895,34.90642800730743
72,166.04820880098828,200.06826866652736,34.90642801506719
73,162.6585957610662,200.0914523727628,34.90642799333987
74,158.47991335820493,201.4465197321843,34.90642800265158
75,154.43284045803932,198.28210693806338,34.90642799023596
76,178.5025335918374,199.28064529754167,34.906427999547674
77,176.2506585608979,200.72754188084429,34.90642800109963
78,189.958492437266,201.40150333711827,34.90642800730743
79,163.3121588500414,200.93139668302481,34.906427996443774
80,172.55772778207805,199.28582706560053,34.906427999547674
81,169.9019519718012,201.93874022046953,34.90642800730743
82,180.91967147616197,200.29829110005116,34.906428008859386
83,182.40830401583202,199.1331937338299,34.906428008859386
84,155.35542272049162,198.06598477716656,34.90642800109963
85,162.53929617745536,199.52377897903528,34.90642800109963
86,176.18824867916547,203.25017817647017,34.90642799333987
87,186.83600158691405,200.27833264741207,34.906427996443774
88,198.52457828082248,205.57379671846394,34.90642800109963
89,164.61679312007217,198.2554656852058,34.90642800265158
90,178.28593043314146,199.4700175968974,34.90642800109963
91,185.1350117063742,200.0036853762348,34.906427996443774
92,179.9280559065155,201.87230259621404,34.90642800109963
93,188.41556385233656,199.0838613859321,34.90642800109963
94,175.4734097529117,199.00776080138513,34.90642800730743
95,190.05843909478958,198.2833719773444,34.90642801506719
96,217.5592017529747,201.68093057606063,34.90642800730743
97,173.66451941986787,200.19943145429147,34.90642800265158
98,182.27510339411722,198.4449757885603,34.90642801506719
99,172.49518373550907,198.63290668484444,34.90642800265158
